112|Главный технолог (в прочих отраслях)|21010|null|null|null|null|1229|Руководители
113|Главный технолог проекта|21011|null|null|null|null|1223|Руководители
114|Главный товаровед|21012|null|null|null|null|1224|Руководители
115|Главный ученый секретарь президиума академии|21018|null|null|null|null|1239|Руководители
116|Главный экономист|21032|null|null|null|null|1231|Руководители
117|Главный электрик|21034|null|null|null|null|1222|Руководители
118|Главный электроник|21035|null|null|null|null|1222|Руководители
119|Главный энергетик (в промышленности)|21041|КС, выпуск 2002г|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|1, стр.40|Организует технически правильную эксплуатацию и своевременный ремонт энергетического оборудования , бесперебойное обеспечение потребление электроэнергии, воды , контроль за рациональным расходованием энергетических ресурсов на предприятии, последовательное соблюдение режима экономии. Руководит организацией и планированием работы энергетических цехов.|1222|Руководители
120|Главный энергетик (в прочих отраслях)|21044|null|null|null|null|1229|Руководители
121|Главный юрист|21047|null|null|null|null|1239|Руководители
122|Горничная|11695|1|1-2|null|null|9132|null
123|Гравер|11736|47|2-6|null|null|8269|null
124|Гравер|11735|2|3-6|null|null|7324|null
125|Гравер печатных форм|11741|59|3-6|null|null|7343|null
126|Грузчик|11768|1|1-2|null|null|9413|null
127|Давильщик|11783|2|2-5|null|null|7217|null
128|Дворник|11786|1|1|null|null|9414|null
129|Дежурный бюро пропусков|21204|КС, выпуск 2002г|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|3, стр. 313|Выписывает, оформляет и выдает в соответствии с установленным порядком постоянные, временные и разовые пропуска и другие документы, предоставляющие право прохода (выхода) на предприятие или въезда (выезда) на его территорию.|4222|Другие служащие
130|Дежурный пульта управления|21271|null|null|null|null|4190|Другие служащие
131|Делопроизводитель|21299|КС, выпуск 2002г|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|3, стр. 314|Принимает и регистрирует корреспонденцию, направляет ее в структурные подразделения. В соответствии с резолюцией руководителей предприятия передает документы на исполнение, оформляет регистрационные карточки или создает банк данных.|4115|Другие служащие
132|Дефектоскопист по газовому и жидкостному контролю|11827|1|Профессии рабочих общие для всех отраслей народного хозяйства|43-47|Контроль герметичности сборочных единиц, сварных соединений.Калибрование контрольно-измерительных приборов для измерения низкого ваккуума и давления газа|7233|Рабочие
133|Дефектоскопист по магнитному и утразвуковому контролю|11830|1|""|null|null|7233|null
134|Дефектоскопист рентгено-, гаммаграфирования|11833|1|Профессии рабочих общие для всех отраслей народного хозяйства|57-61|Просвечивание изделий при помощи передвижных источников излучения|7233|Рабочие
363|Комплектовщик туб|12884|13|2-3|null|null|7280|null
135|Директор (заведующий) библиотеки (централизованной библиотечной системы)|21332|null|null|null|null|1210|Руководители
136|Директор (заведующий, начальник) лаборатории|21425|null|null|null|null|1210|Руководители
137|Директор (начальник) вычислительного (информационновычислительного) центра|21345|null|null|null|null|1210|Руководители
138|Директор (начальник) организации (изыскательской, конструкторской, проектной)|21447|null|null|null|null|1210|Руководители
139|Директор (начальник, уполномоченный) дирекции|21365|null|null|null|null|1210|Руководители
140|Директор коммерческий|21407|null|null|null|null|1233|Руководители
141|Директор научно-исследовательского института|21435|КС, выпуск 2002г|квалификационные характеристики должностей работников, занятых в научно- исследовательских учреждениях , конструкторских, технологических, проектных и изыскательских организациях|1, стр. 336|Руководит на основе действующих положений о научно - исследовательских учреждениях, конструкторских, технологических, проектных и изыскательских организациях, научной, научно - технической и производственно - хозяйственной деятельностью в целях получения новых результатов в соответствующей их профилю области науки и техники, создания экономичных, прогрессивных проектов.|1210|Руководители
142|Директор объединения|21444|null|null|null|null|1210|Руководители
143|Директор по кадрам и быту|21477|null|null|null|null|1232|Руководители
144|Директор по капитальному строительству|21480|null|null|null|null|1223|Руководители
145|Директор по производству|21486|null|null|null|null|1222|Руководители
146|Директор по экономике|21489|null|null|null|null|1231|Руководители
147|Директор технический|21571|null|null|null|null|1237|Руководители
148|Диспетчер|21629|КС, выпуск 2002г|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|2, стр.161|Осуществляет с использованием средств вычислительной техники, коммуникаций и связи оперативное регулирование хода производства и других видов основной деятельности предприятия или его подразделений .|3146|Специалисты
149|Диспетчер по отпуску готовой продукции|21716|null|null|null|null|3146|Специалисты
150|Доводчик деталей|11851|27|2-4|null|null|8284|null
151|Доводчик-притирщик|11853|2|2-6|null|null|7223|null
152|Дозиметрист|11856|1|Профессии рабочих общие для всех отраслей народного хозяйства|62-65|Дозиметрические и радиометрические измерения по отдельным видам излучения с помощью различной аппаратуры. Дозиметрический контроль при производстве наиболее ответственных работ. Контроль соблюдения защиты рабочих мест от ионизирующего излучения.|5164|Рабочие
153|Дозировщик|11858|4|2-4|null|null|8112|null
154|Документовед|21792|КС, выпуск 2002г|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|2, стр.163|Разрабатывает и внедряет технологические процессы работы с документами и документной информацией на основе использования организационной и вычислительной техники (учет, контроль исполнения, оперативное хранение, справочная работа).|2432|Специалисты
155|Долбежник|11883|2|2-4|null|null|7223|null
156|Дорожный рабочий|11889|3|1-5|null|null|7129|null
157|Доцент|21795|null|null|null|null|2310|Специалисты
158|Дробильщик|11909|42|1-5|null|null|7450|null
159|Дробильщик|11908|24|2-4|null|null|8151|null
160|Дробильщик|11907|4|2-6|null|null|8112|null
161|Жестянщик|11945|2|Слесарные и слесарно-сборочные работы|20-23|Изготовление, ремонт и установка деталей, узлов и изделий из листового металла и труб. Вольцовка и гибка деталей на вальцах и прессах из листового металла. Изготовление шаблонов.|7233|Рабочие
162|Забойщик на отбойных молотках|11963|4|6|null|null|7111|null
163|Завальцовщик|11967|2|1-4|null|null|7213|null
164|Завальцовщик радиодеталей|11969|20|1-2|null|null|7242|null
165|Заведующий (начальник) приемной|22097|null|null|null|null|1231|Руководители
166|Заведующий (начальник) секретариатом|22123|null|null|null|null|1231|Руководители
167|Заведующий архивом|21902|null|null|null|null|1239|Руководители
168|Заведующий базой (перевалочной, спортивной и др.)|21917|null|null|null|null|1226|Руководители
169|Заведующий бюро (справочным, чертежно-копировальным, чертежным и др.)|21924|null|null|null|null|1239|Руководители
170|Заведующий бюро пропусков|21925|null|null|null|null|1239|Руководители
